subject,predicate,object,inferred,chunk,confidence
computing,were enabled,Research and Development,True,0,1.0
computing,develops in via,,True,0,1.0
Integrated Circuit,was invented,Internet,True,0,1.0
industries,were altered,Integrated Circuit,True,0,1.0
industries,were altered,Railway/Transportation,True,0,1.0
industries,were altered,unprecedented computational power,True,0,1.0
manufacturing,was affected,Integrated Circuit,True,0,1.0
manufacturing,was affected,Railway/Transportation,True,0,1.0
manufacturing,was affected,unprecedented computational power,True,0,1.0
manufacturing,altered by via,,True,0,1.0
manufacturing,altered by via,Railway/Transportation,True,0,1.0
manufacturing,altered by via,employment opportunities,True,0,1.0
Finance,was affected,Integrated Circuit,True,0,1.0
Finance,was affected,Railway/Transportation,True,0,1.0
Finance,was affected,unprecedented computational power,True,0,1.0
entertainment,was affected,Integrated Circuit,True,0,1.0
entertainment,was affected,Railway/Transportation,True,0,1.0
entertainment,was affected,unprecedented computational power,True,0,1.0
Healthcare,was affected,Integrated Circuit,True,0,1.0
Healthcare,was affected,Railway/Transportation,True,0,1.0
Healthcare,was affected,unprecedented computational power,True,0,1.0
steve jobs,popularized via computing,Integrated Circuit,True,0,1.0
steve jobs,popularized via computing,Railway/Transportation,True,0,1.0
steve jobs,popularized via computing,unprecedented computational power,True,0,1.0
steve wozniak,popularized via computing,Integrated Circuit,True,0,1.0
steve wozniak,popularized via computing,Railway/Transportation,True,0,1.0
steve wozniak,popularized via computing,unprecedented computational power,True,0,1.0
bill gates,democratizes access via,,True,0,1.0
bill gates,popularized via computing,Integrated Circuit,True,0,1.0
bill gates,popularized via computing,Railway/Transportation,True,0,1.0
bill gates,popularized via computing,unprecedented computational power,True,0,1.0
Industrial Revolution,created via Internet,Research and Development,True,0,1.0
Business Practices,transformed by via,,True,0,1.0
E-commerce,spearheaded by via,,True,0,1.0
retail,transformed by via,alibaba,True,0,1.0
logistics,transformed by via,alibaba,True,0,1.0
consumer behavior,transformed by via,alibaba,True,0,1.0
Artificial Intelligence,implications of via,for privacy,True,0,1.0
Artificial Intelligence,raises ethical concerns,disease treatment options,True,0,1.0
biotechnology,implications of via,for privacy,True,0,1.0
mit,conducts research,Integrated Circuit,True,0,1.0
mit,conducts research,Railway/Transportation,True,0,1.0
mit,conducts research,unprecedented computational power,True,0,1.0
World Economic Forum,engages with via,natural language processing,True,0,1.0
World Economic Forum,engages with via,data collection,True,0,1.0
World Economic Forum,engages with via,biotechnology,True,0,1.0
United Nations,engages with via,natural language processing,True,0,1.0
United Nations,engages with via,data collection,True,0,1.0
United Nations,engages with via,biotechnology,True,0,1.0
governments globally,engages with via,natural language processing,True,0,1.0
governments globally,engages with via,data collection,True,0,1.0
governments globally,engages with via,biotechnology,True,0,1.0
global politics,is driven,shifts,True,0,1.0
human civilization,is driven,shifts,True,0,1.0
homes and factories,is type of,,True,0,1.0
cultural norms,is type of,,True,0,1.0
manchester,is type of,,True,0,1.0
industries,is type of,,True,0,1.0
humanity,is type of,,True,0,1.0
human civilization,is type of,,True,0,1.0
human interactions with technology,is type of,,True,0,1.0
Integrated Circuit,is type of,,True,0,1.0
mit,is type of,,True,0,1.0
Finance,is type of,,True,0,1.0
rapidly growing industrial enterprises,is type of,,True,0,1.0
global economic systems,is type of,,True,0,1.0
entertainment,is type of,,True,0,1.0
Industrial Revolution,is type of,,True,0,1.0
labor movements,is type of,,True,0,1.0
manufacturing,is type of,,True,0,1.0
unprecedented computational power,is type of,,True,0,1.0
Business Practices,is type of,,True,0,1.0
logistics,is type of,,True,0,1.0
steve jobs,is type of,,True,0,1.0
steam engine,is type of,,True,0,1.0
Artificial Intelligence,is type of,,True,0,1.0
Research and Development,is type of,,True,0,1.0
technological innovation,is type of,,True,0,1.0
concerning economic inequality,is type of,,True,0,1.0
pittsburgh,is type of,,True,0,1.0
society,is type of,,True,0,1.0
karl marx,is type of,,True,0,1.0
guglielmo marconi,is type of,,True,0,1.0
United Nations,is type of,,True,0,1.0
friedrich engels,is type of,,True,0,1.0
Internet,is type of,,True,0,1.0
Electricity,is type of,,True,0,1.0
governments globally,is type of,,True,0,1.0
birmingham,is type of,,True,0,1.0
computing,is type of,,True,0,1.0
alexander graham bell,is type of,,True,0,1.0
Global Interactions,is type of,,True,0,1.0
biotechnology,is type of,,True,0,1.0
for privacy,is type of,,True,0,1.0
Quantum Computing,is type of,,True,0,1.0
World Economic Forum,is type of,,True,0,1.0
urban planning,is type of,,True,0,1.0
lowell,is type of,,True,0,1.0
consumer behavior,is type of,,True,0,1.0
employment opportunities,is type of,,True,0,1.0
henry ford,is type of,,True,0,1.0
Capitalism,is type of,,True,0,1.0
E-commerce,is type of,,True,0,1.0
Toyota,is type of,,True,0,1.0
turning point,is type of,,True,0,1.0
transistor,is type of,,True,0,1.0
henry bessemer,is type of,,True,0,1.0
infrastructure,is type of,,True,0,1.0
Conditions,is type of,,True,0,1.0
bill gates,is type of,,True,0,1.0
global politics,is type of,,True,0,1.0
steve wozniak,is type of,,True,0,1.0
Development of Cellular Technologies,is type of,,True,0,1.0
environment,is type of,,True,0,1.0
traditional financial institutions,is type of,,True,0,1.0
agriculture,is type of,,True,0,1.0
disease treatment options,is type of,,True,0,1.0
economic structures,is type of,,True,0,1.0
retail,is type of,,True,0,1.0
data collection,is type of,,True,0,1.0
shifts,is type of,,True,0,1.0
natural language processing,is type of,,True,0,1.0
production,is type of,,True,0,1.0
to improve efficiency and product consistency,is type of,,True,0,1.0
the communist manifesto,is type of,,True,0,1.0
thomas edison,is type of,,True,0,1.0
groundbreaking inventions,is type of,,True,0,1.0
Healthcare,is type of,,True,0,1.0
dramatically,is type of,,True,0,1.0
manual labor,is type of,,True,0,1.0
Societal Interactions,is type of,,True,0,1.0
railroad,is type of,,True,0,1.0
World War II,is type of,,True,0,1.0
human civilization,related to,human interactions with technology,True,0,1.0
human interactions with technology,related to,blockchain technology,True,0,1.0
human interactions with technology,related to,Global Interactions,True,0,1.0
human interactions with technology,related to,Information Technology,True,0,1.0
human interactions with technology,related to,Societal Interactions,True,0,1.0
blockchain technology,related to,Information Technology,True,0,1.0
adam smith,is type of,mit,True,0,1.0
rapidly growing industrial enterprises,relates to,Industrial Revolution,True,0,1.0
global economic systems,related to,concerning economic inequality,True,0,1.0
global economic systems,related to,Global Interactions,True,0,1.0
global economic systems,related to,World Economic Forum,True,0,1.0
global economic systems,related to,global politics,True,0,1.0
global economic systems,relates to,economic structures,True,0,1.0
Child Labor,relates to,labor movements,True,0,1.0
manual labor,relates to,labor movements,True,0,1.0
Child Labor,related to,manual labor,True,0,1.0
steve jobs,related to,steve wozniak,True,0,1.0
Research and Development,relates to,Development of Cellular Technologies,True,0,1.0
concerning economic inequality,related to,World Economic Forum,True,0,1.0
concerning economic inequality,relates to,economic structures,True,0,1.0
Quantum Computing,relates to,computing,True,0,1.0
Global Interactions,related to,global politics,True,0,1.0
Global Interactions,related to,Societal Interactions,True,0,1.0
World Economic Forum,relates to,economic structures,True,0,1.0
World Economic Forum,related to,World War II,True,0,1.0
henry ford,related to,henry bessemer,True,0,1.0
