subject,predicate,object,inferred,chunk,confidence
revolution,led to,industrialization,True,0,1.0
henry bessemer,invented,bessemer process,True,0,1.0
finance,related to,mass customization,True,0,1.0
industrial revolution,experienced by,birmingham,True,0,1.0
britain,originates in via,Industrial Revolution (20th century),True,0,1.0
britain,originates in via,Technological Progress,True,0,1.0
britain,originates in via,Communication Revolution,True,0,1.0
revolution,refers to via,Era,True,0,1.0
revolution,driven by via,environment,True,0,1.0
revolution,driven by via,cryptography,True,0,1.0
revolution,driven by via,finance,True,0,1.0
revolution,driven by via,Industrial Enterprises,True,0,1.0
steam engine,enables widespread adoption,,True,0,1.0
steam engine,enables widespread adoption,Technological Progress,True,0,1.0
steam engine,enables widespread adoption,computing,True,0,1.0
pittsburgh,is an industrial,chains and structures,True,0,1.0
lowell,is an industrial,Capitalism,True,0,1.0
lowell,is an industrial,conditions,True,0,1.0
henry bessemer,developed Bessemer Process,chains and structures,True,0,1.0
Industrial Revolution (19th century),altered by via,integrated circuit,True,0,1.0
Industrial Revolution (19th century),altered by via,cryptography,True,0,1.0
Industrial Revolution (19th century),altered by via,Era,True,0,1.0
Societal Interactions,transforms via Capitalism,philosophers and activists,True,0,1.0
computing,paved the way,transistor,True,0,1.0
integrated circuit,developed after via,researchers at bell labs,True,0,1.0
manufacturing,altered by via,environment,True,0,1.0
manufacturing,altered by via,cryptography,True,0,1.0
manufacturing,altered by via,finance,True,0,1.0
manufacturing,altered by via,Industrial Enterprises,True,0,1.0
manufacturing,affected by via,integrated circuit,True,0,1.0
manufacturing,affected by via,cryptography,True,0,1.0
manufacturing,affected by via,Era,True,0,1.0
finance,affected by via,integrated circuit,True,0,1.0
finance,affected by via,cryptography,True,0,1.0
finance,affected by via,Era,True,0,1.0
entertainment,altered by via,integrated circuit,True,0,1.0
entertainment,altered by via,cryptography,True,0,1.0
entertainment,altered by via,Era,True,0,1.0
healthcare,altered by via,integrated circuit,True,0,1.0
healthcare,altered by via,cryptography,True,0,1.0
healthcare,altered by via,Era,True,0,1.0
bill gates,democratizes access via,environment,True,0,1.0
bill gates,democratizes access via,cryptography,True,0,1.0
bill gates,democratizes access via,finance,True,0,1.0
bill gates,democratizes access via,Industrial Enterprises,True,0,1.0
pioneers,popularized via computing,integrated circuit,True,0,1.0
pioneers,popularized via computing,cryptography,True,0,1.0
pioneers,popularized via computing,Era,True,0,1.0
internet,developed by via,philosophers and activists,True,0,1.0
visionaries,contributed to via,Communication Revolution,True,0,1.0
mass customization,enabled by via,environment,True,0,1.0
mass customization,enabled by via,cryptography,True,0,1.0
mass customization,enabled by via,finance,True,0,1.0
mass customization,enabled by via,Industrial Enterprises,True,0,1.0
Technological Progress,challenges institutions,,True,0,1.0
Technological Progress,challenges institutions,computing,True,0,1.0
Technological Progress,developed by via,Artificial Intelligence,True,0,1.0
Globalization,reshaped by via,,True,0,1.0
E-commerce,spearheaded by via,behavior,True,0,1.0
retail,transformed by via,amazon,True,0,1.0
logistics,transformed by via,amazon,True,0,1.0
behavior,transformed by via,amazon,True,0,1.0
amazon,transforms retail via,E-commerce,True,0,1.0
alibaba,transforms retail via,E-commerce,True,0,1.0
Transportation Revolution,distinguished by via,environment,True,0,1.0
Transportation Revolution,distinguished by via,cryptography,True,0,1.0
Transportation Revolution,distinguished by via,finance,True,0,1.0
Transportation Revolution,distinguished by via,Industrial Enterprises,True,0,1.0
research institutions,advanced AI development,Biotechnology,True,0,1.0
research institutions,advanced AI development,privacy,True,0,1.0
research institutions,advanced AI development,employment,True,0,1.0
Industrial Enterprises,advanced AI development,Biotechnology,True,0,1.0
Industrial Enterprises,advanced AI development,privacy,True,0,1.0
Industrial Enterprises,advanced AI development,employment,True,0,1.0
openai,develops AI via,Biotechnology,True,0,1.0
openai,develops AI via,privacy,True,0,1.0
openai,develops AI via,employment,True,0,1.0
google,develops AI via,Biotechnology,True,0,1.0
google,develops AI via,privacy,True,0,1.0
google,develops AI via,employment,True,0,1.0
microsoft,develops AI via,Biotechnology,True,0,1.0
microsoft,develops AI via,privacy,True,0,1.0
microsoft,develops AI via,employment,True,0,1.0
ibm,develops quantum computing,google,True,0,1.0
ibm,develops AI via,Biotechnology,True,0,1.0
ibm,develops AI via,privacy,True,0,1.0
ibm,develops AI via,employment,True,0,1.0
urban planning,is affected,researchers at bell labs,True,0,1.0
mit,collaborates on quantum,Artificial Intelligence,True,0,1.0
Artificial Intelligence,is related,domains,True,0,1.0
Artificial Intelligence,is related,medicine,True,0,1.0
Artificial Intelligence,is related,diseases,True,0,1.0
global politics,is related,Technological Progress,True,0,1.0
human civilization,is influenced,environment,True,0,1.0
human civilization,is influenced,cryptography,True,0,1.0
human civilization,is influenced,finance,True,0,1.0
human civilization,is influenced,Industrial Enterprises,True,0,1.0
privacy,is type of,,True,0,1.0
global economic systems,is type of,,True,0,1.0
conditions,is type of,,True,0,1.0
amazon,is type of,,True,0,1.0
global politics,is type of,,True,0,1.0
openai,is type of,,True,0,1.0
adam smith,is type of,,True,0,1.0
technological progress,is type of,,True,0,1.0
employment,is type of,,True,0,1.0
cotton gin,is type of,,True,0,1.0
production,is type of,,True,0,1.0
new lanark,is type of,,True,0,1.0
railways,is type of,,True,0,1.0
automation,is type of,,True,0,1.0
industrial revolution,is type of,,True,0,1.0
governments globally,is type of,,True,0,1.0
Era,is type of,,True,0,1.0
Globalization,is type of,,True,0,1.0
cryptography,is type of,,True,0,1.0
thomas edison,is type of,,True,0,1.0
researchers at bell labs,is type of,,True,0,1.0
logistics,is type of,,True,0,1.0
machine learning algorithms,is type of,,True,0,1.0
mit,is type of,,True,0,1.0
chains and structures,is type of,,True,0,1.0
electric lighting,is type of,,True,0,1.0
transistor,is type of,,True,0,1.0
united nations,is type of,,True,0,1.0
medicine,is type of,,True,0,1.0
Technological Progress,is type of,,True,0,1.0
behavior,is type of,,True,0,1.0
pioneers,is type of,,True,0,1.0
human civilization,is type of,,True,0,1.0
E-commerce,is type of,,True,0,1.0
microsoft,is type of,,True,0,1.0
culture,is type of,,True,0,1.0
entertainment,is type of,,True,0,1.0
robert owen,is type of,,True,0,1.0
alibaba,is type of,,True,0,1.0
cyrus mccormick,is type of,,True,0,1.0
retail,is type of,,True,0,1.0
ibm,is type of,,True,0,1.0
the wealth of nations,is type of,,True,0,1.0
Capitalism,is type of,,True,0,1.0
Societal Interactions,is type of,,True,0,1.0
physical,is type of,,True,0,1.0
socioeconomic shifts,is type of,,True,0,1.0
Industrial Revolution (20th century),is type of,,True,0,1.0
mass customization,is type of,,True,0,1.0
mechanical reaper,is type of,,True,0,1.0
cultural norms,is type of,,True,0,1.0
steam engine,is type of,,True,0,1.0
mass-production methods,is type of,,True,0,1.0
technological innovation,is type of,,True,0,1.0
visionaries,is type of,,True,0,1.0
world economic forum,is type of,,True,0,1.0
Biotechnology,is type of,,True,0,1.0
integrated circuit,is type of,,True,0,1.0
fields,is type of,,True,0,1.0
lines for efficiency,is type of,,True,0,1.0
google,is type of,,True,0,1.0
human interactions,is type of,,True,0,1.0
Industrial Enterprises,is type of,,True,0,1.0
Transportation Revolution,is type of,,True,0,1.0
urban planning,is type of,,True,0,1.0
Artificial Intelligence,is type of,,True,0,1.0
eli whitney,is type of,,True,0,1.0
henry bessemer,is type of,,True,0,1.0
research institutions,is type of,,True,0,1.0
internet,is type of,,True,0,1.0
henry ford,is type of,,True,0,1.0
environment,is type of,,True,0,1.0
philosophers and activists,is type of,,True,0,1.0
toyota,is type of,,True,0,1.0
society,is type of,,True,0,1.0
computing,is type of,,True,0,1.0
liverpool-manchester railway,is type of,,True,0,1.0
electronics,is type of,,True,0,1.0
domains,is type of,,True,0,1.0
diseases,is type of,,True,0,1.0
global economic systems,related to,global politics,True,0,1.0
global economic systems,related to,world economic forum,True,0,1.0
adam smith,is type of,mit,True,0,1.0
technological progress,related to,Technological Progress,True,0,1.0
technological progress,related to,technological innovation,True,0,1.0
mass-production methods,is type of,production,True,0,1.0
industrial revolution,related to,Industrial Revolution (19th century),True,0,1.0
industrial revolution,related to,Communication Revolution,True,0,1.0
industrial revolution,related to,Industrial Revolution (20th century),True,0,1.0
industrial revolution,relates to,revolution,True,0,1.0
industrial revolution,related to,Industrial Enterprises,True,0,1.0
industrial revolution,related to,Transportation Revolution,True,0,1.0
Industrial Revolution (19th century),related to,Communication Revolution,True,0,1.0
Industrial Revolution (19th century),related to,Industrial Revolution (20th century),True,0,1.0
Industrial Revolution (19th century),relates to,revolution,True,0,1.0
Industrial Revolution (19th century),related to,Industrial Enterprises,True,0,1.0
Industrial Revolution (19th century),related to,Transportation Revolution,True,0,1.0
Societal Interactions,is type of,Era,True,0,1.0
human interactions,is type of,Era,True,0,1.0
researchers at bell labs,related to,alexander graham bell,True,0,1.0
steve jobs,related to,steve wozniak,True,0,1.0
Communication Revolution,related to,Industrial Revolution (20th century),True,0,1.0
Communication Revolution,related to,Transportation Revolution,True,0,1.0
united nations,related to,the wealth of nations,True,0,1.0
Technological Progress,related to,technological innovation,True,0,1.0
human civilization,related to,human interactions,True,0,1.0
Societal Interactions,related to,human interactions,True,0,1.0
Industrial Revolution (20th century),related to,Industrial Enterprises,True,0,1.0
Industrial Revolution (20th century),related to,Transportation Revolution,True,0,1.0
Transportation Revolution,relates to,revolution,True,0,1.0
liverpool-manchester railway,is type of,manchester,True,0,1.0
henry bessemer,related to,henry ford,True,0,1.0
